SimID, NodeID, HashPower, ElectricPower, ElectricityCost, TotalCycles
1,1,2.7613858E10,1382.7142,0.03626152,3.5903833369436774E17
1,2,2.8133018E10,1406.7397,0.07314739,4.904314175496192E17
1,3,3.153861E10,1375.9656,0.17083335,8.242556161524367E17
1,4,2.825351E10,1372.5555,0.16689983,5.4998790412824576E17
1,5,3.0544982E10,1367.599,0.12831296,5.679062036082893E17
1,6,2.7354225E10,1374.4016,0.16056074,4.9322569309154304E17
1,7,2.9914702E10,1384.263,0.062219404,5.257908805131387E17
1,8,2.9096927E10,1386.4039,0.13491777,8.29925894246744E17
1,9,3.0300353E10,1403.5791,0.11095292,9.365907137252352E17
1,10,2.9709365E10,1384.8934,0.19571477,6.268209036106301E17
1,11,2.9682178E10,1318.3916,0.044865496,5.447844103652823E17
1,12,2.9675315E10,1357.0905,0.077419266,6.59676618586112E17
1,13,2.6011894E10,1362.2726,0.07318295,5.905037778019942E17
1,14,2.953488E10,1354.8324,0.02774974,4.409582355078185E17
1,15,2.7788284E10,1368.8901,0.0106958,3.7412097451821875E17
1,16,2.809226E10,1372.9508,0.19353949,5.089693646679982E17
1,17,3.0532033E10,1361.396,0.18653604,5.7069473720764006E17
1,18,2.7818412E10,1372.9681,0.14703873,2.828603953825792E17
1,19,2.9323715E10,1349.1094,0.14467357,4.2492669275664384E17
1,20,2.727592E10,1396.054,0.18547872,3.591317199156019E17
1,21,2.9449437E10,1364.176,0.12072653,5.7492431091910246E17
1,22,3.2621222E10,1369.9597,0.120303944,5.043276134804439E17
1,23,2.8432687E10,1358.7725,0.07757992,6.066251407843983E17
1,24,2.9036739E10,1357.2916,0.06806092,4.4316860543056896E17
1,25,2.8825027E10,1361.6215,0.1083701,5.1561316817207296E17
1,26,2.7252769E10,1372.382,0.01676429,6.014897003527864E17
1,27,2.765747E10,1371.4889,0.0029194206,6.482051362582692E17
1,28,2.8892185E10,1335.9851,0.07200362,4.2148875190778266E17
1,29,3.0395122E10,1426.3274,0.019795433,6.332694723378545E17
1,30,9.0174685E10,1367.7018,0.13682565,5.458425557374838E19
2,1,3.3126023E10,1380.1914,0.067007005,8.425367804235612E17
2,2,2.666532E10,1372.9628,0.08821434,4.820088920868782E17
2,3,2.739435E10,1398.0995,0.103123836,6.501899997126226E17
2,4,3.1879119E10,1374.6011,0.096648075,8.23830454346285E17
2,5,3.269132E10,1364.1571,0.04406929,8.455473156562514E17
2,6,2.602136E10,1362.912,0.111575775,3.7248871111458406E17
2,7,3.1100494E10,1381.5779,0.07841888,5.796192502875177E17
2,8,2.8128109E10,1379.581,0.13721937,6.755738227264389E17
2,9,2.502899E10,1317.7666,0.07934084,3.349030918564024E17
2,10,2.7650992E10,1385.0703,0.117815055,3.453585413443891E17
2,11,2.8248195E10,1351.6866,0.020683087,6.016440415000166E17
2,12,3.2707095E10,1358.6124,0.081661634,8.026228436093686E17
2,13,2.2889394E10,1383.3942,0.10494559,2.921602959306465E17
2,14,3.0441546E10,1375.987,0.16133258,4.724702935873536E17
2,15,3.1061045E10,1354.8964,0.13346827,6.477767319610491E17
2,16,2.8387916E10,1375.0825,0.07720072,4.791675222236897E17
2,17,2.6865897E10,1356.7758,0.13081066,4.456392564162888E17
2,18,2.9693696E10,1362.2448,0.035269678,5.12454726072576E17
2,19,2.8494836E10,1358.274,0.1488494,4.5600507849632154E17
2,20,2.4669018E10,1412.8848,0.065151624,3.910973093087539E17
2,21,2.9171124E10,1412.0803,0.09709768,6.269500024640963E17
2,22,3.0339252E10,1370.2522,0.054907147,4.366993737664758E17
2,23,3.5647283E10,1379.204,0.15682441,6.700166746134528E17
2,24,2.9262504E10,1342.5359,0.09530191,4.242380961753252E17
2,25,3.4362302E10,1366.0863,0.12690812,1.0596760573069476E18
2,26,2.7576027E10,1378.9426,0.09881172,2.1607904766310195E17
2,27,2.8615E10,1364.4169,0.05740414,3.82299977730048E17
2,28,2.9372953E10,1404.5237,0.07698501,5.88884814638039E17
2,29,2.7607214E10,1370.048,0.09951246,5.3770949082448896E17
2,30,9.011147E10,1380.0328,0.055562105,5.273308913747706E19
3,1,3.1423926E10,1390.7328,0.09184536,5.547753718371164E17
3,2,2.5939933E10,1413.585,0.030534036,3.7953079400574976E17
3,3,2.9290215E10,1361.7345,0.2529922,7.134598543624192E17
3,4,3.665474E10,1362.7029,0.045826603,7.833187832299561E17
3,5,2.9560285E10,1381.742,0.10433159,3.8495020314204365E17
3,6,3.0040402E10,1356.5955,0.16896239,6.000192375263846E17
3,7,3.466082E10,1403.8325,0.13708204,6.330633594623427E17
3,8,2.9054906E10,1397.2949,0.1315456,3.996940809455493E17
3,9,2.701608E10,1384.5693,0.053267635,3.418513912238387E17
3,10,3.0153366E10,1373.6393,0.12458852,4.767162656758989E17
3,11,3.0727E10,1408.35,0.17825547,7.742956971047485E17
3,12,2.4229278E10,1374.623,0.09481607,3.7295800062203904E17
3,13,2.9438276E10,1387.4803,0.16192047,9.23925018766209E17
3,14,2.6092175E10,1367.427,0.14128917,4.252886295150592E17
3,15,2.8156783E10,1384.9365,0.14254296,4.5169344335381914E17
3,16,2.8739903E10,1353.8215,0.0346864,7.549667715921592E17
3,17,2.4502505E10,1340.6462,0.06691702,5.335335787859067E17
3,18,3.078781E10,1347.8136,0.0396987,5.412623101442048E17
3,19,2.6145755E10,1356.9746,0.14714783,4.6745083120800154E17
3,20,3.2627372E10,1364.6593,0.0712509,6.41240033333846E17
3,21,2.7738528E10,1385.8772,0.13449419,5.404026909718016E17
3,22,2.2836767E10,1351.5393,0.016663179,2.5444832812227584E17
3,23,2.6894737E10,1391.0092,0.1022112,3.833402130132664E17
3,24,3.1009366E10,1380.342,0.211499,6.388494389944812E17
3,25,2.9027635E10,1371.0089,0.15584223,5.871742559207424E17
3,26,2.6086752E10,1407.0714,0.1469474,4.31458473747071E17
3,27,2.8349633E10,1411.9624,0.096053265,4.5181977339233894E17
3,28,2.732267E10,1364.6558,0.03065379,5.7445201300844544E17
3,29,3.0484746E10,1366.3805,0.23740157,6.13660990285824E17
3,30,8.930993E10,1371.8153,0.03340789,5.258364636639467E19
4,1,2.7238267E10,1367.3373,0.030007556,5.97755560851159E17
4,2,2.6591482E10,1363.318,0.082899906,5.147697655693558E17
4,3,2.7636908E10,1368.0848,0.12193107,5.952508002416722E17
4,4,2.8330291E10,1373.3661,0.08184351,5.741428430011392E17
4,5,2.1932716E10,1379.9001,0.16140904,2.0579140655356723E17
