8.0333065E11,2.0083266E11
7.922616E11,1.980654E11
7.8589814E11,1.9647454E11
7.859683E11,1.9649207E11
8.009846E11,2.0024615E11
8.19493E11,2.0487325E11
7.9790434E11,1.9947608E11
7.963246E11,1.9908115E11
7.961209E11,1.9903023E11
8.013835E11,2.0034588E11
7.9788455E11,1.9947114E11
7.9937405E11,1.9984351E11
8.248317E11,2.0620793E11
8.195742E11,2.0489355E11
7.964626E11,1.9911565E11
8.2482725E11,2.0620681E11
7.890675E11,1.9726688E11
8.191489E11,2.0478722E11
8.188505E11,2.0471262E11
8.098495E11,2.0246238E11
8.029673E11,2.0074183E11
8.027382E11,2.0068455E11
7.969426E11,1.9923565E11
8.065743E11,2.0164357E11
8.202519E11,2.0506298E11
8.0786666E11,2.0196667E11
8.0788344E11,2.0197086E11
8.0357045E11,2.0089261E11
7.986442E11,1.9966104E11
8.095861E11,2.0239653E11
7.988321E11,1.9970803E11
8.23962E11,2.059905E11
8.1239146E11,2.0309787E11
8.30214E11,2.075535E11
8.259573E11,2.0648932E11
8.06625E11,2.0165625E11
7.845465E11,1.9613663E11
7.817236E11,1.954309E11
8.089807E11,2.0224518E11
8.080852E11,2.020213E11
7.951495E11,1.9878737E11
7.675265E11,1.9188163E11
8.248224E11,2.062056E11
8.1744776E11,2.0436194E11
8.03431E11,2.0085775E11
8.111213E11,2.0278033E11
8.00833E11,2.0020825E11
7.8112195E11,1.9528049E11
8.25005E11,2.0625125E11
8.14823E11,2.0370575E11
7.971996E11,1.992999E11
