SimID, NodeID, HashPower, ElectricPower, ElectricityCost, TotalCycles
1,1,2.7613858E10,1382.7142,0.03626152,4.6470099324855706E17
1,2,2.8133018E10,1406.7397,0.07314739,5.25782326544128E17
1,3,3.153861E10,1375.9656,0.17083335,6.621011134769398E17
1,4,2.825351E10,1372.5555,0.16689983,6.706117711940383E17
1,5,3.0544982E10,1367.599,0.12831296,6.288190678345605E17
1,6,2.7354225E10,1374.4016,0.16056074,4.455315235106304E17
1,7,2.9914702E10,1384.263,0.062219404,6.210819195708539E17
1,8,2.9096927E10,1386.4039,0.13491777,5.526364840710144E17
1,9,3.0300353E10,1403.5791,0.11095292,5.794709105205658E17
1,10,2.9709365E10,1384.8934,0.19571477,5.686368052062413E17
1,11,2.9682178E10,1318.3916,0.044865496,4.691971411284357E17
1,12,2.9675315E10,1357.0905,0.077419266,6.541532411938816E17
1,13,2.6011894E10,1362.2726,0.07318295,3.659965013898035E17
1,14,2.953488E10,1354.8324,0.02774974,4.349197702743982E17
1,15,2.7788284E10,1368.8901,0.0106958,5.311466757435351E17
1,16,2.809226E10,1372.9508,0.19353949,4.191808821309358E17
1,17,3.0532033E10,1361.396,0.18653604,5.009739250055127E17
1,18,2.7818412E10,1372.9681,0.14703873,2.811541808990085E17
1,19,2.9323715E10,1349.1094,0.14467357,6.164716008071578E17
1,20,2.727592E10,1396.054,0.18547872,3.4394691557277696E17
1,21,2.9449437E10,1364.176,0.12072653,6.015219529545155E17
1,22,3.2621222E10,1369.9597,0.120303944,7.098234675664712E17
1,23,2.8432687E10,1358.7725,0.07757992,6.566138705874862E17
1,24,2.9036739E10,1357.2916,0.06806092,6.592882084672307E17
1,25,2.8825027E10,1361.6215,0.1083701,4.8635253781069824E17
1,26,2.7252769E10,1372.382,0.01676429,6.464764725718057E17
1,27,2.765747E10,1371.4889,0.0029194206,5.074423876226253E17
1,28,2.8892185E10,1335.9851,0.07200362,6.434372136723087E17
1,29,3.0395122E10,1426.3274,0.019795433,5.85523933769515E17
1,30,3.4781666E11,1367.7018,0.13682565,2.0073913631121762E20
2,1,3.3126023E10,1380.1914,0.067007005,7.337776199145226E17
2,2,2.666532E10,1372.9628,0.08821434,4.541113671809761E17
2,3,2.739435E10,1398.0995,0.103123836,3.899460943833395E17
2,4,3.1879119E10,1374.6011,0.096648075,1.0348179393651343E18
2,5,3.269132E10,1364.1571,0.04406929,5.046670674239877E17
2,6,2.602136E10,1362.912,0.111575775,4.32747882816213E17
2,7,3.1100494E10,1381.5779,0.07841888,5.102894074451804E17
2,8,2.8128109E10,1379.581,0.13721937,5.5926091542073344E17
2,9,2.502899E10,1317.7666,0.07934084,3.301235307106345E17
2,10,2.7650992E10,1385.0703,0.117815055,4.768784945297879E17
2,11,2.8248195E10,1351.6866,0.020683087,5.6891314035204096E17
2,12,3.2707095E10,1358.6124,0.081661634,6.601706584659681E17
2,13,2.2889394E10,1383.3942,0.10494559,2.5518797309392077E17
2,14,3.0441546E10,1375.987,0.16133258,5.0006138429802086E17
2,15,3.1061045E10,1354.8964,0.13346827,5.10495671179649E17
2,16,2.8387916E10,1375.0825,0.07720072,5.064253718484787E17
2,17,2.6865897E10,1356.7758,0.13081066,5.2203283886638285E17
2,18,2.9693696E10,1362.2448,0.035269678,5.1824674872064E17
2,19,2.8494836E10,1358.274,0.1488494,4.5459583790134886E17
2,20,2.4669018E10,1412.8848,0.065151624,2.903434148032164E17
2,21,2.9171124E10,1412.0803,0.09709768,4.343754548565217E17
2,22,3.0339252E10,1370.2522,0.054907147,1.1259020284475474E18
2,23,3.5647283E10,1379.204,0.15682441,8.32726060880896E17
2,24,2.9262504E10,1342.5359,0.09530191,4.3299797304108646E17
2,25,3.4362302E10,1366.0863,0.12690812,1.0301053717477376E18
2,26,2.7576027E10,1378.9426,0.09881172,5.3145779720939315E17
2,27,2.8615E10,1364.4169,0.05740414,5.1853364660474675E17
2,28,2.9372953E10,1404.5237,0.07698501,5.4746953896493056E17
2,29,2.7607214E10,1370.048,0.09951246,3.403867073299763E17
2,30,3.475728E11,1380.0328,0.055562105,1.9618925273433244E20
3,1,3.1423926E10,1390.7328,0.09184536,6.989208182136381E17
3,2,2.5939933E10,1413.585,0.030534036,3.870307809473065E17
3,3,2.9290215E10,1361.7345,0.2529922,6.040121608353137E17
3,4,3.665474E10,1362.7029,0.045826603,8.203535223698964E17
3,5,2.9560285E10,1381.742,0.10433159,5.243420235300475E17
3,6,3.0040402E10,1356.5955,0.16896239,7.319477908000563E17
3,7,3.466082E10,1403.8325,0.13708204,6.247609841790484E17
3,8,2.9054906E10,1397.2949,0.1315456,6.837216837265326E17
3,9,2.701608E10,1384.5693,0.053267635,4.320496511901184E17
3,10,3.0153366E10,1373.6393,0.12458852,5.2152609663023514E17
3,11,3.0727E10,1408.35,0.17825547,7.645096392163656E17
3,12,2.4229278E10,1374.623,0.09481607,3.228066909730857E17
3,13,2.9438276E10,1387.4803,0.16192047,6.483509365240627E17
3,14,2.6092175E10,1367.427,0.14128917,5.5698747566718976E17
3,15,2.8156783E10,1384.9365,0.14254296,5.179845052332073E17
3,16,2.8739903E10,1353.8215,0.0346864,5.706575980841943E17
3,17,2.4502505E10,1340.6462,0.06691702,2.3696569062014976E17
3,18,3.078781E10,1347.8136,0.0396987,5.6754072136239104E17
3,19,2.6145755E10,1356.9746,0.14714783,4.475823581310935E17
3,20,3.2627372E10,1364.6593,0.0712509,5.010811630642422E17
3,21,2.7738528E10,1385.8772,0.13449419,5.056933879901512E17
3,22,2.2836767E10,1351.5393,0.016663179,2.9540766780826624E17
3,23,2.6894737E10,1391.0092,0.1022112,5.1634380681180774E17
3,24,3.1009366E10,1380.342,0.211499,6.598806112138527E17
3,25,2.9027635E10,1371.0089,0.15584223,6.878907451109376E17
3,26,2.6086752E10,1407.0714,0.1469474,2.5208497393822925E17
3,27,2.8349633E10,1411.9624,0.096053265,4.548206670426317E17
3,28,2.732267E10,1364.6558,0.03065379,5.820759393231483E17
3,29,3.0484746E10,1366.3805,0.23740157,5.617705563852595E17
3,30,3.4448114E11,1371.8153,0.03340789,1.9561000810144793E20
4,1,2.7238267E10,1367.3373,0.030007556,5.5235683324732416E17
4,2,2.6591482E10,1363.318,0.082899906,3.971215244490465E17
4,3,2.7636908E10,1368.0848,0.12193107,5.884280214819963E17
4,4,2.8330291E10,1373.3661,0.08184351,3.781862416720896E17
4,5,2.1932716E10,1379.9001,0.16140904,2.1106376829506765E17
4,6,2.8357642E10,1391.389,0.16762446,6.512881827946189E17
4,7,2.7181076E10,1390.4446,0.14018649,8.383982382637875E17
4,8,2.8253094E10,1369.6276,0.06901013,4.714170263213179E17
4,9,3.0543722E10,1399.5636,0.052940916,9.586964960820818E17
4,10,2.8233361E10,1420.8757,0.1111417,4.21920736315861E17
4,11,2.5543778E10,1351.1731,0.099554494,2.9685791359217664E17
4,12,2.4272083E10,1392.7421,0.02674599,3.841168534748713E17
4,13,2.9516204E10,1369.8792,0.030762278,6.353110849505567E17
4,14,3.1061733E10,1405.8379,0.08003113,5.3125783383240704E17
4,15,3.2812886E10,1406.3887,0.14336216,5.4255070140257894E17
4,16,3.16995E10,1348.5558,0.07509075,6.364239310928323E17
4,17,2.9528662E10,1398.1357,0.08306983,8.05604707260588E17
4,18,2.843868E10,1379.3215,0.13903674,4.770407624846049E17
4,19,2.987278E10,1369.2083,0.11198993,7.062823292482068E17
4,20,2.6856407E10,1361.4437,0.08660818,4.185484559553331E17
4,21,2.3880616E10,1391.8004,0.15461724,4.12730929999786E17
4,22,3.2229607E10,1343.2449,0.010779537,5.6140640368239616E17
4,23,2.4419942E10,1363.5071,0.057094138,4.865420044197888E17
