SimID, NodeID, HashPower, ElectricPower, ElectricityCost, TotalCycles
1,1,2.7613858E10,1382.7142,0.03626152,5.6449711632869376E17
1,2,2.8133018E10,1406.7397,0.07314739,5.187460619112448E17
1,3,3.153861E10,1375.9656,0.17083335,5.424384856757371E17
1,4,2.825351E10,1372.5555,0.16689983,8.083615878837965E17
1,5,3.0544982E10,1367.599,0.12831296,6.083074709661942E17
1,6,2.7354225E10,1374.4016,0.16056074,6.331445216293171E17
1,7,2.9914702E10,1384.263,0.062219404,4.430894736327557E17
1,8,2.9096927E10,1386.4039,0.13491777,4.886271431488635E17
1,9,3.0300353E10,1403.5791,0.11095292,3.6211736154588365E17
1,10,2.9709365E10,1384.8934,0.19571477,5.979426875648082E17
1,11,2.9682178E10,1318.3916,0.044865496,6.711780701233295E17
1,12,2.9675315E10,1357.0905,0.077419266,6.043211461961728E17
1,13,2.6011894E10,1362.2726,0.07318295,3.059351947693261E17
1,14,2.953488E10,1354.8324,0.02774974,4.770406732073861E17
1,15,2.7788284E10,1368.8901,0.0106958,6.963366303564145E17
1,16,2.809226E10,1372.9508,0.19353949,7.20406548790616E17
1,17,3.0532033E10,1361.396,0.18653604,6.643684479599841E17
1,18,2.7818412E10,1372.9681,0.14703873,3.7303642073345024E17
1,19,2.9323715E10,1349.1094,0.14467357,4.8852695591325696E17
1,20,2.727592E10,1396.054,0.18547872,3.008287058337792E17
1,21,2.9449437E10,1364.176,0.12072653,5.986266020883333E17
1,22,3.2621222E10,1369.9597,0.120303944,7.709549197177016E17
1,23,2.8432687E10,1358.7725,0.07757992,3.938487856493691E17
1,24,2.9036739E10,1357.2916,0.06806092,7.457061302264832E17
1,25,2.8825027E10,1361.6215,0.1083701,5.455941071221555E17
1,26,2.7252769E10,1372.382,0.01676429,3.286716071687946E17
1,27,2.765747E10,1371.4889,0.0029194206,4.613235288201953E17
1,28,2.8892185E10,1335.9851,0.07200362,4.99709141054079E17
1,29,3.0395122E10,1426.3274,0.019795433,5.95581740318376E17
1,30,5.4104805E11,1367.7018,0.13682565,3.0450598555579554E20
2,1,3.3126023E10,1380.1914,0.067007005,6.60413615160492E17
2,2,2.666532E10,1372.9628,0.08821434,4.4086032950286746E17
2,3,2.739435E10,1398.0995,0.103123836,4.325019007130808E17
2,4,3.1879119E10,1374.6011,0.096648075,5.433732049403904E17
2,5,3.269132E10,1364.1571,0.04406929,8.685614170782044E17
2,6,2.602136E10,1362.912,0.111575775,4.9985171295123456E17
2,7,3.1100494E10,1381.5779,0.07841888,7.298732000697795E17
2,8,2.8128109E10,1379.581,0.13721937,4.426077423859712E17
2,9,2.502899E10,1317.7666,0.07934084,4.6870086926469734E17
2,10,2.7650992E10,1385.0703,0.117815055,6.330409289466839E17
2,11,2.8248195E10,1351.6866,0.020683087,4.8049761744184934E17
2,12,3.2707095E10,1358.6124,0.081661634,5.749761344380805E17
2,13,2.2889394E10,1383.3942,0.10494559,5.142390350217134E17
2,14,3.0441546E10,1375.987,0.16133258,7.797556580324065E17
2,15,3.1061045E10,1354.8964,0.13346827,4.0013779638144614E17
