SimID,SimDiff
21,328850
21,661095
21,407736
21,119193
21,167276
21,793229
21,110541
21,83474
21,129163
21,466720
21,685650
21,390393
21,747828
21,287613
21,747661
21,35520
21,499608
21,198255
21,134705
21,139951
21,385857
21,205620
21,1046325
21,837245
21,90190
21,119831
21,79854
21,226093
21,66293
21,39280
21,283919
21,221005
21,210214
22,328850
22,661095
22,407736
22,119193
22,602594
22,551926
22,668962
22,219006
22,2305349
22,261711
22,535128
22,845636
22,424969
22,953156
22,1392525
22,23546
22,1027971
22,26738
22,174448
22,441387
23,328850
23,661095
23,407736
23,119193
23,106810
23,107026
23,394492
23,546192
23,628400
23,191579
23,500489
23,2134560
23,535128
23,1496148
23,247009
23,1209852
23,834619
23,368816
23,34185
23,228395
23,536005
23,10082
24,328850
24,661095
24,407736
24,119193
24,960505
24,194015
24,60931
24,274157
24,152749
24,363613
24,499163
24,979645
24,71398
24,298172
24,755200
24,535128
24,1360093
24,179086
24,950181
24,36103
24,98761
24,1272497
24,735088
24,640011
25,328850
25,661095
25,407736
25,119193
25,48387
25,232372
25,483538
25,127013
25,798914
25,38412
25,981948
25,490580
25,44385
25,305670
25,165172
25,142931
25,250819
25,244165
25,462288
25,328082
25,1396097
25,345897
25,124970
25,368214
25,113504
25,774909
25,210660
25,149367
25,266122
25,892928
