SimID,SimDiff
26,328850
26,661095
26,407736
26,119193
26,649433
26,244052
26,319149
26,1156852
26,83454
26,482813
26,468073
26,1205722
26,274501
26,260627
26,753058
26,52540
26,372767
26,1313325
26,389247
26,81463
26,381648
26,72607
26,599412
26,874179
27,328850
27,661095
27,407736
27,119193
27,121840
27,391944
27,446721
27,148830
27,45185
27,88285
27,373780
27,1263944
27,812982
27,1441076
27,156237
27,725613
27,185944
27,490846
27,488150
27,200766
27,68524
27,719999
27,413856
27,1174566
28,328850
28,661095
28,407736
28,119193
28,136561
28,114145
28,546791
28,33631
28,323392
28,405108
28,563456
28,1662405
28,141499
28,408562
28,273998
28,535128
28,982144
28,62616
28,16822
28,687386
28,257123
28,624391
28,1480693
28,1506682
28,475532
29,328850
29,661095
29,407736
29,205413
29,581956
29,292329
29,194015
29,464772
29,70177
29,448314
29,24644
29,679518
29,76867
29,471416
29,1135731
29,31295
29,14625
29,177737
29,103875
29,59116
29,78965
29,69501
29,113904
29,464991
29,375484
29,14336
29,214582
29,1020682
29,378587
29,89266
29,360228
29,39167
29,175438
29,2009522
29,110450
30,328850
30,661095
30,100346
30,307390
30,119193
30,452789
30,474810
30,32906
30,310986
30,351561
30,199756
30,1725188
30,772542
30,8239
30,489508
30,67121
30,252395
30,6875
30,328966
30,54828
30,156297
30,231153
30,307992
30,830504
30,116283
30,590015
30,189030
30,67505
30,668505
30,682932
