SimID, NodeID, HashPower, ElectricPower, ElectricityCost, TotalCycles
1,1,2.7613858E10,1382.7142,0.03626152,2.7979318915719782E17
1,2,2.8133018E10,1406.7397,0.07314739,3.770561162130944E17
1,3,3.153861E10,1375.9656,0.17083335,7.354358883253617E17
1,4,2.825351E10,1372.5555,0.16689983,4.459116938512712E17
1,5,3.0544982E10,1367.599,0.12831296,5.947686825924403E17
1,6,2.7354225E10,1374.4016,0.16056074,5.088976669518643E17
1,7,2.9914702E10,1384.263,0.062219404,5.572438262196306E17
1,8,2.9096927E10,1386.4039,0.13491777,5.400638763956306E17
1,9,3.0300353E10,1403.5791,0.11095292,5.3791291653801984E17
1,10,2.9709365E10,1384.8934,0.19571477,7.731111550132183E17
1,11,2.9682178E10,1318.3916,0.044865496,5.161268907856773E17
1,12,2.9675315E10,1357.0905,0.077419266,6.321289047846912E17
1,13,2.6011894E10,1362.2726,0.07318295,5.736853456892723E17
1,14,2.953488E10,1354.8324,0.02774974,5.2010081485111296E17
1,15,2.7788284E10,1368.8901,0.0106958,5.5657884663188275E17
1,16,2.809226E10,1372.9508,0.19353949,6.087368642040791E17
1,17,3.0532033E10,1361.396,0.18653604,4.827699639210455E17
1,18,2.7818412E10,1372.9681,0.14703873,4.3008878469369856E17
1,19,2.9323715E10,1349.1094,0.14467357,4.978621311197184E17
1,20,2.727592E10,1396.054,0.18547872,5.709997692734669E17
1,21,2.9449437E10,1364.176,0.12072653,3.889296759118725E17
1,22,3.2621222E10,1369.9597,0.120303944,8.504062543539016E17
1,23,2.8432687E10,1358.7725,0.07757992,6.27044928008749E17
1,24,2.9036739E10,1357.2916,0.06806092,4.710162024363213E17
1,25,2.8825027E10,1361.6215,0.1083701,7.68095697789911E17
1,26,2.7252769E10,1372.382,0.01676429,4.2081030232714445E17
1,27,2.765747E10,1371.4889,0.0029194206,6.39660803436118E17
1,28,2.8892185E10,1335.9851,0.07200362,4.075669949854679E17
1,29,3.0395122E10,1426.3274,0.019795433,5.47374621432447E17
1,30,2.0289303E11,1367.7018,0.13682565,1.2030381160339236E20
2,1,3.3126023E10,1380.1914,0.067007005,7.560084278105211E17
2,2,2.666532E10,1372.9628,0.08821434,4.095455904509133E17
2,3,2.739435E10,1398.0995,0.103123836,5.02161895153621E17
2,4,3.1879119E10,1374.6011,0.096648075,5.950891692497961E17
2,5,3.269132E10,1364.1571,0.04406929,5.3429351154534605E17
2,6,2.602136E10,1362.912,0.111575775,4.100040435506463E17
2,7,3.1100494E10,1381.5779,0.07841888,6.533655187553321E17
2,8,2.8128109E10,1379.581,0.13721937,3.5592633476972544E17
2,9,2.502899E10,1317.7666,0.07934084,3.27746327205716E17
2,10,2.7650992E10,1385.0703,0.117815055,6.182792808931983E17
2,11,2.8248195E10,1351.6866,0.020683087,3.4530568232637235E17
2,12,3.2707095E10,1358.6124,0.081661634,5.7096944994421146E17
2,13,2.2889394E10,1383.3942,0.10494559,4.006340505064776E17
2,14,3.0441546E10,1375.987,0.16133258,7.946573121725399E17
2,15,3.1061045E10,1354.8964,0.13346827,6.569292727369605E17
2,16,2.8387916E10,1375.0825,0.07720072,6.083055704845025E17
2,17,2.6865897E10,1356.7758,0.13081066,4.032044370297774E17
2,18,2.9693696E10,1362.2448,0.035269678,4.24084416073728E17
2,19,2.8494836E10,1358.274,0.1488494,5.985467613221233E17
2,20,2.4669018E10,1412.8848,0.065151624,4.798823389447475E17
2,21,2.9171124E10,1412.0803,0.09709768,4.978363313009828E17
2,22,3.0339252E10,1370.2522,0.054907147,4.6646342410756096E17
2,23,3.5647283E10,1379.204,0.15682441,9.559353342855168E17
2,24,2.9262504E10,1342.5359,0.09530191,2.8154233419430298E17
2,25,3.4362302E10,1366.0863,0.12690812,7.705228144030843E17
2,26,2.7576027E10,1378.9426,0.09881172,4.493712720727122E17
2,27,2.8615E10,1364.4169,0.05740414,6.64303951010775E17
2,28,2.9372953E10,1404.5237,0.07698501,7.086075006901862E17
2,29,2.7607214E10,1370.048,0.09951246,6.167026750447309E17
2,30,2.0275079E11,1380.0328,0.055562105,1.1748390980341649E20
3,1,3.1423926E10,1390.7328,0.09184536,7.459558682422313E17
3,2,2.5939933E10,1413.585,0.030534036,3.7125177899081114E17
3,3,2.9290215E10,1361.7345,0.2529922,4.633317540875039E17
3,4,3.665474E10,1362.7029,0.045826603,6.343451249433027E17
3,5,2.9560285E10,1381.742,0.10433159,6.500000763009946E17
3,6,3.0040402E10,1356.5955,0.16896239,5.634304185130496E17
3,7,3.466082E10,1403.8325,0.13708204,7.829779176291041E17
3,8,2.9054906E10,1397.2949,0.1315456,4.141030482213806E17
3,9,2.701608E10,1384.5693,0.053267635,3.3570074850026496E17
